2025-03-04 21:31:42,237 - Server - INFO - Sent global model to client ('127.0.0.1', 63956)
2025-03-04 21:31:42,454 - Server - INFO - Expecting 89158 bytes from client ('127.0.0.1', 63956)
2025-03-04 21:31:42,454 - Server - ERROR - Error handling client ('127.0.0.1', 63956): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:31:52,457 - Server - INFO - Client connected from ('127.0.0.1', 63966)
2025-03-04 21:31:52,459 - Server - INFO - Sent global model to client ('127.0.0.1', 63966)
2025-03-04 21:31:52,674 - Server - INFO - Expecting 89074 bytes from client ('127.0.0.1', 63966)
2025-03-04 21:31:52,674 - Server - ERROR - Error handling client ('127.0.0.1', 63966): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:32:02,677 - Server - INFO - Client connected from ('127.0.0.1', 63984)
2025-03-04 21:32:02,679 - Server - INFO - Sent global model to client ('127.0.0.1', 63984)
2025-03-04 21:32:02,997 - Server - INFO - Expecting 89049 bytes from client ('127.0.0.1', 63984)
2025-03-04 21:32:02,997 - Server - ERROR - Error handling client ('127.0.0.1', 63984): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:32:13,001 - Server - INFO - Client connected from ('127.0.0.1', 63989)
2025-03-04 21:32:13,003 - Server - INFO - Sent global model to client ('127.0.0.1', 63989)
2025-03-04 21:32:13,203 - Server - INFO - Expecting 89091 bytes from client ('127.0.0.1', 63989)
2025-03-04 21:32:13,203 - Server - ERROR - Error handling client ('127.0.0.1', 63989): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:32:23,205 - Server - INFO - Client connected from ('127.0.0.1', 64006)
2025-03-04 21:32:23,208 - Server - INFO - Sent global model to client ('127.0.0.1', 64006)
2025-03-04 21:32:23,418 - Server - INFO - Expecting 89040 bytes from client ('127.0.0.1', 64006)
2025-03-04 21:32:23,418 - Server - ERROR - Error handling client ('127.0.0.1', 64006): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:32:33,420 - Server - INFO - Client connected from ('127.0.0.1', 64012)
2025-03-04 21:32:33,422 - Server - INFO - Sent global model to client ('127.0.0.1', 64012)
2025-03-04 21:32:33,619 - Server - INFO - Expecting 89064 bytes from client ('127.0.0.1', 64012)
2025-03-04 21:32:33,620 - Server - ERROR - Error handling client ('127.0.0.1', 64012): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:32:43,623 - Server - INFO - Client connected from ('127.0.0.1', 64017)
2025-03-04 21:32:43,625 - Server - INFO - Sent global model to client ('127.0.0.1', 64017)
2025-03-04 21:32:43,841 - Server - INFO - Expecting 89125 bytes from client ('127.0.0.1', 64017)
2025-03-04 21:32:43,842 - Server - ERROR - Error handling client ('127.0.0.1', 64017): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:32:53,844 - Server - INFO - Client connected from ('127.0.0.1', 64027)
2025-03-04 21:32:53,847 - Server - INFO - Sent global model to client ('127.0.0.1', 64027)
2025-03-04 21:32:54,037 - Server - INFO - Expecting 89072 bytes from client ('127.0.0.1', 64027)
2025-03-04 21:32:54,037 - Server - ERROR - Error handling client ('127.0.0.1', 64027): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:33:04,040 - Server - INFO - Client connected from ('127.0.0.1', 64031)
2025-03-04 21:33:04,042 - Server - INFO - Sent global model to client ('127.0.0.1', 64031)
2025-03-04 21:33:04,241 - Server - INFO - Expecting 89042 bytes from client ('127.0.0.1', 64031)
2025-03-04 21:33:04,241 - Server - ERROR - Error handling client ('127.0.0.1', 64031): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:33:14,243 - Server - INFO - Client connected from ('127.0.0.1', 64036)
2025-03-04 21:33:14,245 - Server - INFO - Sent global model to client ('127.0.0.1', 64036)
2025-03-04 21:33:14,446 - Server - INFO - Expecting 89186 bytes from client ('127.0.0.1', 64036)
2025-03-04 21:33:14,447 - Server - ERROR - Error handling client ('127.0.0.1', 64036): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:33:24,449 - Server - INFO - Client connected from ('127.0.0.1', 64041)
2025-03-04 21:33:24,451 - Server - INFO - Sent global model to client ('127.0.0.1', 64041)
2025-03-04 21:33:24,650 - Server - INFO - Expecting 89122 bytes from client ('127.0.0.1', 64041)
2025-03-04 21:33:24,650 - Server - ERROR - Error handling client ('127.0.0.1', 64041): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:33:34,653 - Server - INFO - Client connected from ('127.0.0.1', 64046)
2025-03-04 21:33:34,655 - Server - INFO - Sent global model to client ('127.0.0.1', 64046)
2025-03-04 21:33:34,848 - Server - INFO - Expecting 89102 bytes from client ('127.0.0.1', 64046)
2025-03-04 21:33:34,848 - Server - ERROR - Error handling client ('127.0.0.1', 64046): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:33:44,851 - Server - INFO - Client connected from ('127.0.0.1', 64055)
2025-03-04 21:33:44,853 - Server - INFO - Sent global model to client ('127.0.0.1', 64055)
2025-03-04 21:33:45,048 - Server - INFO - Expecting 89092 bytes from client ('127.0.0.1', 64055)
2025-03-04 21:33:45,049 - Server - ERROR - Error handling client ('127.0.0.1', 64055): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:33:55,051 - Server - INFO - Client connected from ('127.0.0.1', 64063)
2025-03-04 21:33:55,053 - Server - INFO - Sent global model to client ('127.0.0.1', 64063)
2025-03-04 21:33:55,268 - Server - INFO - Expecting 89111 bytes from client ('127.0.0.1', 64063)
2025-03-04 21:33:55,268 - Server - ERROR - Error handling client ('127.0.0.1', 64063): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:34:05,270 - Server - INFO - Client connected from ('127.0.0.1', 64067)
2025-03-04 21:34:05,272 - Server - INFO - Sent global model to client ('127.0.0.1', 64067)
2025-03-04 21:34:05,469 - Server - INFO - Expecting 89099 bytes from client ('127.0.0.1', 64067)
2025-03-04 21:34:05,469 - Server - ERROR - Error handling client ('127.0.0.1', 64067): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:34:15,472 - Server - INFO - Client connected from ('127.0.0.1', 64074)
2025-03-04 21:34:15,474 - Server - INFO - Sent global model to client ('127.0.0.1', 64074)
2025-03-04 21:34:15,676 - Server - INFO - Expecting 89067 bytes from client ('127.0.0.1', 64074)
2025-03-04 21:34:15,676 - Server - ERROR - Error handling client ('127.0.0.1', 64074): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:34:25,679 - Server - INFO - Client connected from ('127.0.0.1', 64079)
2025-03-04 21:34:25,681 - Server - INFO - Sent global model to client ('127.0.0.1', 64079)
2025-03-04 21:34:25,874 - Server - INFO - Expecting 89132 bytes from client ('127.0.0.1', 64079)
2025-03-04 21:34:25,874 - Server - ERROR - Error handling client ('127.0.0.1', 64079): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:34:35,877 - Server - INFO - Client connected from ('127.0.0.1', 64086)
2025-03-04 21:34:35,879 - Server - INFO - Sent global model to client ('127.0.0.1', 64086)
2025-03-04 21:34:36,083 - Server - INFO - Expecting 89074 bytes from client ('127.0.0.1', 64086)
2025-03-04 21:34:36,083 - Server - ERROR - Error handling client ('127.0.0.1', 64086): cannot access local variable 'received_data' where it is not associated with a value
